id;view;wing;side;A_wing
EL75608;D;Ant;g;717244.0
EL72445;D;Post;d;717207.0
ACC0022;D;Post;g;717064.5
ACC0076;V;Post;d;716934.0
EL72711;D;Ant;g;716668.0
EL43237;D;Ant;d;716612.0
EL75590;D;Ant;d;716566.0
EL75673;V;Ant;d;715689.0
EL75370;D;Ant;g;715616.0
EL72699;D;Post;g;715603.5
ACC0022;V;Post;g;715497.5
EL75337;D;Ant;d;715137.0
EL72654;D;Post;d;714970.0
EL72593;V;Ant;d;714829.0
EL43191;D;Ant;d;714263.0
EL72495;D;Ant;d;713693.0
EL43211;V;Ant;d;713650.5
EL75708;V;Post;d;713605.0
EL72746;V;Ant;d;713190.0
EL72654;V;Post;d;712956.0
EL43130;V;Ant;g;712494.5
EL72699;V;Post;g;712403.5
EL72661;D;Post;g;712363.0
ACC0335;D;Ant;g;712222.5
EL72518;D;Post;g;711806.0
EL75677;V;Ant;g;711332.0
EL75708;D;Post;d;711306.5
EL75506;V;Ant;g;711288.5
EL43187;V;Post;g;710959.0
EL75600;D;Ant;d;710953.5
EL75716;D;Ant;g;710531.0
EL75578;D;Post;g;710500.0
EL72721;D;Ant;d;710454.0
EL72659;V;Ant;d;710122.5
EL43194;V;Post;d;710071.5
EL72661;V;Post;g;709930.0
EL72518;V;Post;g;709719.0
EL75674;D;Ant;d;709691.0
EL72702;V;Post;g;709650.0
